paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
syntactic_00001,https://pubmed.ncbi.nlm.nih.gov/26908322/,Language structure in the brain: A fixation-related fMRI study of syntactic surprisal in reading.,"Henderson JM, Choi W, Lowder MW, Ferreira F",NeuroImage,0.77,26908322,-1,-1
syntactic_00002,https://pubmed.ncbi.nlm.nih.gov/21934094/,Shared syntax in language production and language comprehension--an FMRI study.,"Segaert K, Menenti L, Weber K, Petersson KM, Hagoort P","Cerebral cortex (New York, N.Y. : 1991)",0.73,21934094,-1,-1
syntactic_00003,https://pubmed.ncbi.nlm.nih.gov/21278407/,"Left inferior frontal cortex and syntax: function, structure and behaviour in patients with left hemisphere damage.","Tyler LK, Marslen-Wilson WD, Randall B, Wright P, Devereux BJ, Zhuang J, Papoutsi M, Stamatakis EA",Brain : a journal of neurology,0.689,21278407,-1,-1
syntactic_00004,https://pubmed.ncbi.nlm.nih.gov/12679298/,An event-related fMRI study of explicit syntactic processing of normal/anomalous  sentences in contrast to implicit syntactic processing.,"Suzuki K, Sakai KL","Cerebral cortex (New York, N.Y. : 1991)",0.668,12679298,-1,-1
syntactic_00005,https://pubmed.ncbi.nlm.nih.gov/24345172/,What role does the anterior temporal lobe play in sentence-level processing? Neural correlates of syntactic processing in semantic variant primary progressive aphasia.,"Wilson SM, DeMarco AT, Henry ML, Gesierich B, Babiak M, Mandelli ML, Miller BL, Gorno-Tempini ML",Journal of cognitive neuroscience,0.635,24345172,-1,-1
syntactic_00006,https://pubmed.ncbi.nlm.nih.gov/20472279/,Syntactic structure building in the anterior temporal lobe during natural story listening.,"Brennan J, Nir Y, Hasson U, Malach R, Heeger DJ, Pylkkanen L",Brain and language,0.615,20472279,-1,-1
syntactic_00007,https://pubmed.ncbi.nlm.nih.gov/18702594/,Sentence syntax and content in the human temporal lobe: an fMRI adaptation study  in auditory and visual modalities.,"Devauchelle AD, Oppenheim C, Rizzi L, Dehaene S, Pallier C",Journal of cognitive neuroscience,0.581,18702594,-1,-1
syntactic_00008,https://pubmed.ncbi.nlm.nih.gov/18387556/,Task-dependent and task-independent neurovascular responses to syntactic processing.,"Caplan D, Chen E, Waters G",Cortex; a journal devoted to the study of the nervous system and behavior,0.568,18387556,-1,-1
syntactic_00009,https://pubmed.ncbi.nlm.nih.gov/26666896/,Syntactic processing is distributed across the language system.,"Blank I, Balewski Z, Mahowald K, Fedorenko E",NeuroImage,0.558,26666896,-1,-1
syntactic_00010,https://pubmed.ncbi.nlm.nih.gov/26497266/,Preschoolers' brains rely on semantic cues prior to the mastery of syntax during  sentence comprehension.,"Wu CY, Vissiennon K, Friederici AD, Brauer J",NeuroImage,0.533,26497266,-1,-1
syntactic_00011,https://pubmed.ncbi.nlm.nih.gov/20038434/,The functional organisation of the fronto-temporal language system: evidence from syntactic and semantic ambiguity.,"Rodd JM, Longe OA, Randall B, Tyler LK",Neuropsychologia,0.526,20038434,-1,-1
syntactic_00012,https://pubmed.ncbi.nlm.nih.gov/19920058/,"Neural aspects of sentence comprehension: syntactic complexity, reversibility, and reanalysis.","Meltzer JA, McArdle JJ, Schafer RJ, Braun AR","Cerebral cortex (New York, N.Y. : 1991)",0.517,19920058,-1,-1
syntactic_00013,https://pubmed.ncbi.nlm.nih.gov/12507948/,The role of left inferior frontal and superior temporal cortex in sentence comprehension: localizing syntactic and semantic processes.,"Friederici AD, Ruschemeyer SA, Hahne A, Fiebach CJ","Cerebral cortex (New York, N.Y. : 1991)",0.508,12507948,-1,-1
syntactic_00014,https://pubmed.ncbi.nlm.nih.gov/16904083/,When sex meets syntactic gender on a neural basis during pronoun processing.,"Hammer A, Goebel R, Schwarzbach J, Munte TF, Jansma BM",Brain research,0.477,16904083,-1,-1
syntactic_00015,https://pubmed.ncbi.nlm.nih.gov/21391256/,Who was the agent? The neural correlates of reanalysis processes during sentence  comprehension.,"Hirotani M, Makuuchi M, Ruschemeyer SA, Friederici AD",Human brain mapping,0.477,21391256,-1,-1
syntactic_00016,https://pubmed.ncbi.nlm.nih.gov/10906316/,Segregating semantic and syntactic aspects of processing in the human brain: an fMRI investigation of different word types.,"Friederici AD, Opitz B, von Cramon DY","Cerebral cortex (New York, N.Y. : 1991)",0.454,10906316,-1,-1
syntactic_00017,https://pubmed.ncbi.nlm.nih.gov/19001084/,Retrieval and unification of syntactic structure in sentence comprehension: an FMRI study using word-category ambiguity.,"Snijders TM, Vosse T, Kempen G, Van Berkum JJ, Petersson KM, Hagoort P","Cerebral cortex (New York, N.Y. : 1991)",0.451,19001084,-1,-1
syntactic_00018,https://pubmed.ncbi.nlm.nih.gov/17133392/,Taxing working memory with syntax: bihemispheric modulations.,"Santi A, Grodzinsky Y",Human brain mapping,0.445,17133392,-1,-1
syntactic_00019,https://pubmed.ncbi.nlm.nih.gov/15455462/,Revisiting the role of Broca's area in sentence processing: syntactic integration versus syntactic working memory.,"Fiebach CJ, Schlesewsky M, Lohmann G, von Cramon DY, Friederici AD",Human brain mapping,0.437,15455462,-1,-1
syntactic_00020,https://pubmed.ncbi.nlm.nih.gov/19595775/,An fMRI study of syntactic layers: sentential and lexical aspects of embedding.,"Shetreet E, Friedmann N, Hadar U",NeuroImage,0.434,19595775,-1,-1
syntactic_00021,https://pubmed.ncbi.nlm.nih.gov/22000597/,BOLD response to semantic and syntactic processing during hypoglycemia is load-dependent.,"Schafer RJ, Page KA, Arora J, Sherwin R, Constable RT",Brain and language,0.432,22000597,-1,-1
syntactic_00022,https://pubmed.ncbi.nlm.nih.gov/20338244/,fMRI adaptation dissociates syntactic complexity dimensions.,"Santi A, Grodzinsky Y",NeuroImage,0.425,20338244,-1,-1
syntactic_00023,https://pubmed.ncbi.nlm.nih.gov/18669589/,Selective attention to semantic and syntactic features modulates sentence processing networks in anterior temporal cortex.,"Rogalsky C, Hickok G","Cerebral cortex (New York, N.Y. : 1991)",0.422,18669589,-1,-1
syntactic_00024,https://pubmed.ncbi.nlm.nih.gov/12744952/,Distributed cortical networks for syntax processing: Broca's area as the common denominator.,"Heim S, Opitz B, Friederici AD",Brain and language,0.42,12744952,-1,-1
syntactic_00025,https://pubmed.ncbi.nlm.nih.gov/11230094/,The neural bases of sentence comprehension: a fMRI examination of syntactic and lexical processing.,"Keller TA, Carpenter PA, Just MA","Cerebral cortex (New York, N.Y. : 1991)",0.399,11230094,-1,-1
syntactic_00026,https://pubmed.ncbi.nlm.nih.gov/18255103/,Broca's area plays a role in syntactic processing during Chinese reading comprehension.,"Wang S, Zhu Z, Zhang JX, Wang Z, Xiao Z, Xiang H, Chen HC",Neuropsychologia,0.389,18255103,-1,-1
syntactic_00027,https://pubmed.ncbi.nlm.nih.gov/23376214/,Syntactic priming and the lexical boost effect during sentence production and sentence comprehension: an fMRI study.,"Segaert K, Kempen G, Petersson KM, Hagoort P",Brain and language,0.389,23376214,-1,-1
syntactic_00028,https://pubmed.ncbi.nlm.nih.gov/21421059/,Dynamic assignment of neural resources in auditory comprehension of complex sentences.,"Obleser J, Meyer L, Friederici AD",NeuroImage,0.386,21421059,-1,-1
syntactic_00029,https://pubmed.ncbi.nlm.nih.gov/23000255/,Co-localizing linguistic and musical syntax with intracranial EEG.,"Sammler D, Koelsch S, Ball T, Brandt A, Grigutsch M, Huppertz HJ, Knosche TR, Wellmer J, Widman G, Elger CE, Friederici AD, Schulze-Bonhage A",NeuroImage,0.379,23000255,-1,-1
syntactic_00030,https://pubmed.ncbi.nlm.nih.gov/10571235/,Form and content: dissociating syntax and semantics in sentence comprehension.,"Dapretto M, Bookheimer SY",Neuron,0.377,10571235,-1,-1
syntactic_00031,https://pubmed.ncbi.nlm.nih.gov/26807841/,The Semantics of Syntax: The Grounding of Transitive and Intransitive Constructions.,"van Dam WO, Desai RH",Journal of cognitive neuroscience,0.377,26807841,-1,-1
syntactic_00032,https://pubmed.ncbi.nlm.nih.gov/19328233/,Syntactic priming in German-English bilinguals during sentence comprehension.,"Weber K, Indefrey P",NeuroImage,0.375,19328233,-1,-1
syntactic_00033,https://pubmed.ncbi.nlm.nih.gov/15083528/,Neural correlates of syntactic transformations.,"Wartenburger I, Heekeren HR, Burchert F, Heinemann S, De Bleser R, Villringer A",Human brain mapping,0.37,15083528,-1,-1
syntactic_00034,https://pubmed.ncbi.nlm.nih.gov/21391281/,Dissociable neural imprints of perception and grammar in auditory functional imaging.,"Herrmann B, Obleser J, Kalberlah C, Haynes JD, Friederici AD",Human brain mapping,0.364,21391281,-1,-1
syntactic_00035,https://pubmed.ncbi.nlm.nih.gov/24385957/,Computational principles of syntax in the regions specialized for language: integrating theoretical linguistics and functional neuroimaging.,"Ohta S, Fukui N, Sakai KL",Frontiers in behavioral neuroscience,0.352,24385957,-1,-1
syntactic_00036,https://pubmed.ncbi.nlm.nih.gov/17229404/,Effects of syntactic complexity in L1 and L2; an fMRI study of Korean-English bilinguals.,"Suh S, Yoon HW, Lee S, Chung JY, Cho ZH, Park H",Brain research,0.351,17229404,-1,-1
syntactic_00037,https://pubmed.ncbi.nlm.nih.gov/16188459/,Prosodic clues to syntactic processing--a PET and ERP study.,"Strelnikov KN, Vorobyev VA, Chernigovskaya TV, Medvedev SV",NeuroImage,0.35,16188459,-1,-1
syntactic_00038,https://pubmed.ncbi.nlm.nih.gov/23867559/,Functional and structural syntax networks in aging.,"Antonenko D, Brauer J, Meinzer M, Fengler A, Kerti L, Friederici AD, Floel A",NeuroImage,0.334,23867559,-1,-1
syntactic_00039,https://pubmed.ncbi.nlm.nih.gov/29024818/,Differential cortical contribution of syntax and semantics: An fMRI study on two-word phrasal processing.,"Schell M, Zaccarella E, Friederici AD",Cortex; a journal devoted to the study of the nervous system and behavior,0.33,29024818,-1,-1
syntactic_00040,https://pubmed.ncbi.nlm.nih.gov/15533557/,Dissociable patterns of brain activity during comprehension of rapid and syntactically complex speech: evidence from fMRI.,"Peelle JE, McMillan C, Moore P, Grossman M, Wingfield A",Brain and language,0.325,15533557,-1,-1
syntactic_00041,https://pubmed.ncbi.nlm.nih.gov/26709465/,A role for left inferior frontal and posterior superior temporal cortex in extracting a syntactic tree from a sentence.,"Pattamadilok C, Dehaene S, Pallier C",Cortex; a journal devoted to the study of the nervous system and behavior,0.323,26709465,10.1016/j.cortex.2015.11.012,-1
syntactic_00042,https://pubmed.ncbi.nlm.nih.gov/25463814/,Effects of representational distance between meanings on the neural correlates of semantic ambiguity.,"Grindrod CM, Garnett EO, Malyutina S, den Ouden DB",Brain and language,0.313,25463814,-1,-1
syntactic_00043,https://pubmed.ncbi.nlm.nih.gov/22682901/,Differences in neural activation between preterm and full term born adolescents on a sentence comprehension task: implications for educational accommodations.,"Barde LH, Yeatman JD, Lee ES, Glover G, Feldman HM",Developmental cognitive neuroscience,0.312,22682901,-1,-1
syntactic_00044,https://pubmed.ncbi.nlm.nih.gov/15895428/,Response of anterior temporal cortex to syntactic and prosodic manipulations during sentence processing.,"Humphries C, Love T, Swinney D, Hickok G",Human brain mapping,0.31,15895428,-1,-1
syntactic_00045,https://pubmed.ncbi.nlm.nih.gov/16757182/,Neural correlates of artificial syntactic structure classification.,"Forkstam C, Hagoort P, Fernandez G, Ingvar M, Petersson KM",NeuroImage,0.308,16757182,-1,-1
syntactic_00046,https://pubmed.ncbi.nlm.nih.gov/12165479/,Specialization in the left prefrontal cortex for sentence comprehension.,"Hashimoto R, Sakai KL",Neuron,0.303,12165479,-1,-1
syntactic_00047,https://pubmed.ncbi.nlm.nih.gov/25998957/,A single dual-stream framework for syntactic computations in music and language.,"Musso M, Weiller C, Horn A, Glauche V, Umarova R, Hennig J, Schneider A, Rijntjes M",NeuroImage,0.303,25998957,-1,-1
syntactic_00048,https://pubmed.ncbi.nlm.nih.gov/19621242/,Left cytoarchitectonic area 44 supports selection in the mental lexicon during language production.,"Heim S, Eickhoff SB, Friederici AD, Amunts K",Brain structure & function,0.294,19621242,-1,-1
syntactic_00049,https://pubmed.ncbi.nlm.nih.gov/21385619/,The locative alternation: distinguishing linguistic processing cost from error signals in Broca's region.,"Christensen KR, Wallentin M",NeuroImage,0.29,21385619,-1,-1
syntactic_00050,https://pubmed.ncbi.nlm.nih.gov/27358446/,fMRI Syntactic and Lexical Repetition Effects Reveal the Initial Stages of Learning a New Language.,"Weber K, Christiansen MH, Petersson KM, Indefrey P, Hagoort P",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.287,27358446,-1,-1
syntactic_00051,https://pubmed.ncbi.nlm.nih.gov/20955801/,Monitoring in language perception: electrophysiological and hemodynamic responses to spelling violations.,"van de Meerendonk N, Indefrey P, Chwilla DJ, Kolk HH",NeuroImage,0.284,20955801,-1,-1
syntactic_00052,https://pubmed.ncbi.nlm.nih.gov/25261745/,A structural distance effect for backward anaphora in Broca's area: an fMRI study.,"Matchin W, Sprouse J, Hickok G",Brain and language,0.283,25261745,-1,-1
syntactic_00053,https://pubmed.ncbi.nlm.nih.gov/15120536/,"Neural responses to morphological, syntactic, and semantic properties of single words: an fMRI study.","Davis MH, Meunier F, Marslen-Wilson WD",Brain and language,0.276,15120536,-1,-1
syntactic_00054,https://pubmed.ncbi.nlm.nih.gov/19554559/,The effect of presentation paradigm on syntactic processing: An event-related fMRI study.,"Lee D, Newman SD",Human brain mapping,0.275,19554559,-1,-1
syntactic_00055,https://pubmed.ncbi.nlm.nih.gov/19664766/,Neural correlates of morphosyntactic and verb-argument structure processing: an EfMRI study.,"Raettig T, Frisch S, Friederici AD, Kotz SA",Cortex; a journal devoted to the study of the nervous system and behavior,0.271,19664766,-1,-1
