paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
cortex suggest_00001,https://pubmed.ncbi.nlm.nih.gov/18937281/,Contagious yawning and the frontal lobe: an fMRI study.,"Nahab FB, Hattori N, Saad ZS, Hallett M",Human brain mapping,0.221,18937281,-1,-1
cortex suggest_00002,https://pubmed.ncbi.nlm.nih.gov/16872743/,Neural correlates of a mystical experience in Carmelite nuns.,"Beauregard M, Paquette V",Neuroscience letters,0.182,16872743,-1,-1
cortex suggest_00003,https://pubmed.ncbi.nlm.nih.gov/28126429/,Neural correlates of the impact of prior outcomes on subsequent monetary decision-making in frequent poker players.,"Brevers D, He Q, Xue G, Bechara A",Biological psychology,0.153,28126429,-1,-1
cortex suggest_00004,https://pubmed.ncbi.nlm.nih.gov/11297824/,Remodelling of sensorimotor maps in paraplegia: a functional magnetic resonance imaging study after a surgical nerve transfer.,"Perani D, Brunelli GA, Tettamanti M, Scifo P, Tecchio F, Rossini PM, Fazio F",Neuroscience letters,0.144,11297824,-1,-1
cortex suggest_00005,https://pubmed.ncbi.nlm.nih.gov/17274965/,Intranasal trigeminal function in subjects with and without an intact sense of smell.,"Iannilli E, Gerber J, Frasnelli J, Hummel T",Brain research,0.143,17274965,-1,-1
cortex suggest_00006,https://pubmed.ncbi.nlm.nih.gov/19641108/,Get aroused and be stronger: emotional facilitation of physical effort in the human brain.,"Schmidt L, Clery-Melin ML, Lafargue G, Valabregue R, Fossati P, Dubois B, Pessiglione M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.141,19641108,-1,-1
cortex suggest_00007,https://pubmed.ncbi.nlm.nih.gov/19925175/,The neural correlates of persuasion: a common network across cultures and media.,"Falk EB, Rameson L, Berkman ET, Liao B, Kang Y, Inagaki TK, Lieberman MD",Journal of cognitive neuroscience,0.141,19925175,10.1162/jocn.2009.21363,-1
cortex suggest_00008,https://pubmed.ncbi.nlm.nih.gov/10684898/,Conscious and unconscious processing of nonverbal predictability in Wernicke's area.,"Bischoff-Grethe A, Proper SM, Mao H, Daniels KA, Berns GS",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.135,10684898,10.1523/JNEUROSCI.20-05-01975.2000,-1
cortex suggest_00009,https://pubmed.ncbi.nlm.nih.gov/19524050/,Decision-related loss: regret and disappointment.,"Chua HF, Gonzalez R, Taylor SF, Welsh RC, Liberzon I",NeuroImage,0.135,19524050,10.1016/j.neuroimage.2009.06.006,-1
cortex suggest_00010,https://pubmed.ncbi.nlm.nih.gov/16949839/,Perirhinal cortex activity during visual object discrimination: an event-related  fMRI study.,"Lee AC, Bandelow S, Schwarzbauer C, Henson RN, Graham KS",NeuroImage,0.134,16949839,10.1016/j.neuroimage.2006.06.021,-1
cortex suggest_00011,https://pubmed.ncbi.nlm.nih.gov/20421249/,The functional architecture of the infant brain as revealed by resting-state fMRI.,"Fransson P, Aden U, Blennow M, Lagercrantz H","Cerebral cortex (New York, N.Y. : 1991)",0.132,20421249,-1,-1
cortex suggest_00012,https://pubmed.ncbi.nlm.nih.gov/21795556/,Focusing attention on the health aspects of foods changes value signals in vmPFC  and improves dietary choice.,"Hare TA, Malmaud J, Rangel A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.132,21795556,-1,-1
cortex suggest_00013,https://pubmed.ncbi.nlm.nih.gov/15157428/,Remembrance of odors past: human olfactory cortex in cross-modal recognition memory.,"Gottfried JA, Smith AP, Rugg MD, Dolan RJ",Neuron,0.131,15157428,-1,-1
cortex suggest_00014,https://pubmed.ncbi.nlm.nih.gov/16150613/,Functional imaging of stress urinary incontinence.,"Di Gangi Herms AM, Veit R, Reisenauer C, Herms A, Grodd W, Enck P, Stenzl A, Birbaumer N",NeuroImage,0.131,16150613,-1,-1
cortex suggest_00015,https://pubmed.ncbi.nlm.nih.gov/12873392/,The nose smells what the eye sees: crossmodal visual facilitation of human olfactory perception.,"Gottfried JA, Dolan RJ",Neuron,0.13,12873392,-1,-1
cortex suggest_00016,https://pubmed.ncbi.nlm.nih.gov/26384774/,Cortical thickness in adults with agenesis of the corpus callosum.,"Beaule V, Tremblay S, Lafleur LP, Tremblay S, Lassonde M, Lepage JF, Theoret H",Neuropsychologia,0.129,26384774,-1,-1
cortex suggest_00017,https://pubmed.ncbi.nlm.nih.gov/16084069/,Low-dose estradiol alters brain activity.,"Stevens MC, Clark VP, Prestwood KM",Psychiatry research,0.127,16084069,10.1016/j.pscychresns.2005.04.004,-1
cortex suggest_00018,https://pubmed.ncbi.nlm.nih.gov/21954239/,"Negative stereotype activation alters interaction between neural correlates of arousal, inhibition and cognitive control.","Forbes CE, Cox CL, Schmader T, Ryan L",Social cognitive and affective neuroscience,0.127,21954239,10.1093/scan/nsr052,-1
cortex suggest_00019,https://pubmed.ncbi.nlm.nih.gov/19199400/,The role of the dorsal anterior cingulate in evaluating behavior for achieving gains and avoiding losses.,"Magno E, Simoes-Franklin C, Robertson IH, Garavan H",Journal of cognitive neuroscience,0.125,19199400,10.1162/jocn.2008.21169,-1
cortex suggest_00020,https://pubmed.ncbi.nlm.nih.gov/25688196/,Sadness is unique: neural processing of emotions in speech prosody in musicians and non-musicians.,"Park M, Gutyrchik E, Welker L, Carl P, Poppel E, Zaytseva Y, Meindl T, Blautzik J, Reiser M, Bao Y",Frontiers in human neuroscience,0.125,25688196,10.3389/fnhum.2014.01049,-1
cortex suggest_00021,https://pubmed.ncbi.nlm.nih.gov/12408855/,Cognitive mechanisms of nicotine on visual attention.,"Lawrence NS, Ross TJ, Stein EA",Neuron,0.124,12408855,-1,-1
cortex suggest_00022,https://pubmed.ncbi.nlm.nih.gov/17161627/,The impact of processing load on emotion.,"Mitchell DG, Nakic M, Fridberg D, Kamel N, Pine DS, Blair RJ",NeuroImage,0.124,17161627,-1,-1
cortex suggest_00023,https://pubmed.ncbi.nlm.nih.gov/22709820/,Obesity is associated with high serotonin 4 receptor availability in the brain reward circuitry.,"Haahr ME, Rasmussen PM, Madsen K, Marner L, Ratner C, Gillings N, Baare WF, Knudsen GM",NeuroImage,0.124,22709820,-1,-1
cortex suggest_00024,https://pubmed.ncbi.nlm.nih.gov/10215087/,Ventromedial prefrontal cortex mediates guessing.,"Elliott R, Rees G, Dolan RJ",Neuropsychologia,0.122,10215087,-1,-1
cortex suggest_00025,https://pubmed.ncbi.nlm.nih.gov/19933580/,Neuronal encoding of human kinematic invariants during action observation.,"Casile A, Dayan E, Caggiano V, Hendler T, Flash T, Giese MA","Cerebral cortex (New York, N.Y. : 1991)",0.122,19933580,-1,-1
cortex suggest_00026,https://pubmed.ncbi.nlm.nih.gov/17051376/,The role of the human ventral premotor cortex in counting successive stimuli.,"Kansaku K, Carver B, Johnson A, Matsuda K, Sadato N, Hallett M",Experimental brain research,0.12,17051376,-1,-1
cortex suggest_00027,https://pubmed.ncbi.nlm.nih.gov/16300969/,Identification of degenerate neuronal systems based on intersubject variability.,"Noppeney U, Penny WD, Price CJ, Flandin G, Friston KJ",NeuroImage,0.119,16300969,-1,-1
cortex suggest_00028,https://pubmed.ncbi.nlm.nih.gov/23754408/,Impact of contour on aesthetic judgments and approach-avoidance decisions in architecture.,"Vartanian O, Navarrete G, Chatterjee A, Fich LB, Leder H, Modrono C, Nadal M, Rostrup N, Skov M",Proceedings of the National Academy of Sciences of the United States of America,0.118,23754408,-1,-1
cortex suggest_00029,https://pubmed.ncbi.nlm.nih.gov/12823480/,Objects automatically potentiate action: an fMRI study of implicit processing.,"Grezes J, Tucker M, Armony J, Ellis R, Passingham RE",The European journal of neuroscience,0.117,12823480,-1,-1
cortex suggest_00030,https://pubmed.ncbi.nlm.nih.gov/19321316/,The neural basis of unconditional love.,"Beauregard M, Courtemanche J, Paquette V, St-Pierre EL",Psychiatry research,0.116,19321316,-1,-1
cortex suggest_00031,https://pubmed.ncbi.nlm.nih.gov/19632341/,On-line plasticity in spoken sentence comprehension: Adapting to time-compressed  speech.,"Adank P, Devlin JT",NeuroImage,0.116,19632341,-1,-1
cortex suggest_00032,https://pubmed.ncbi.nlm.nih.gov/24872554/,Reinstatement of associative memories in early visual cortex is signaled by the hippocampus.,"Bosch SE, Jehee JF, Fernandez G, Doeller CF",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.116,24872554,-1,-1
