paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
core_00001,https://pubmed.ncbi.nlm.nih.gov/15907297/,Functional integration in schizophrenia: too little or too much? Preliminary results on fMRI data.,"Foucher JR, Vidailhet P, Chanraud S, Gounot D, Grucker D, Pins D, Damsa C, Danion JM",NeuroImage,0.516,15907297,10.1016/j.neuroimage.2005.01.042,-1
core_00002,https://pubmed.ncbi.nlm.nih.gov/28669909/,Plastic reorganization of neural systems for perception of others in the congenitally blind.,"Fairhall SL, Porter KB, Bellucci C, Mazzetti M, Cipolli C, Gobbini MI",NeuroImage,0.462,28669909,10.1016/j.neuroimage.2017.06.057,-1
core_00003,https://pubmed.ncbi.nlm.nih.gov/21642352/,The importance of actions and the worth of an object: dissociable neural systems  representing core value and economic value.,"Brosch T, Coppin G, Schwartz S, Sander D",Social cognitive and affective neuroscience,0.436,21642352,10.1093/scan/nsr036,-1
core_00004,https://pubmed.ncbi.nlm.nih.gov/16473022/,Differential patterns of multisensory interactions in core and belt areas of human auditory cortex.,"Lehmann C, Herdener M, Esposito F, Hubl D, di Salle F, Scheffler K, Bach DR, Federspiel A, Kretz R, Dierks T, Seifritz E",NeuroImage,0.366,16473022,-1,-1
core_00005,https://pubmed.ncbi.nlm.nih.gov/25003207/,Medial temporal lobe resection attenuates superior temporal sulcus response to faces.,"Ahs F, Engman J, Persson J, Larsson EM, Wikstrom J, Kumlien E, Fredrikson M",Neuropsychologia,0.28,25003207,-1,-1
core_00006,https://pubmed.ncbi.nlm.nih.gov/26004057/,Pattern reactivation co-varies with activity in the core recollection network during source memory.,"Leiker EK, Johnson JD",Neuropsychologia,0.273,26004057,-1,-1
core_00007,https://pubmed.ncbi.nlm.nih.gov/18395761/,Longitudinal studies of semantic dementia: the relationship between structural and functional changes over time.,"Bright P, Moss HE, Stamatakis EA, Tyler LK",Neuropsychologia,0.272,18395761,-1,-1
core_00008,https://pubmed.ncbi.nlm.nih.gov/23376052/,Remembering what could have happened: neural correlates of episodic counterfactual thinking.,"De Brigard F, Addis DR, Ford JH, Schacter DL, Giovanello KS",Neuropsychologia,0.272,23376052,-1,-1
core_00009,https://pubmed.ncbi.nlm.nih.gov/28974453/,Cortical cores in network dynamics.,"de Pasquale F, Corbetta M, Betti V, Della Penna S",NeuroImage,0.252,28974453,-1,-1
core_00010,https://pubmed.ncbi.nlm.nih.gov/23734122/,"Recollection, familiarity, and content-sensitivity in lateral parietal cortex: a  high-resolution fMRI study.","Johnson JD, Suzuki M, Rugg MD",Frontiers in human neuroscience,0.22,23734122,-1,-1
core_00011,https://pubmed.ncbi.nlm.nih.gov/25448851/,Using a combination of fMRI and anterior temporal lobe rTMS to measure intrinsic  and induced activation changes across the semantic cognition network.,"Binney RJ, Lambon Ralph MA",Neuropsychologia,0.212,25448851,-1,-1
core_00012,https://pubmed.ncbi.nlm.nih.gov/20100898/,Hierarchical organization of human auditory cortex: evidence from acoustic invariance in the response to intelligible speech.,"Okada K, Rong F, Venezia J, Matchin W, Hsieh IH, Saberi K, Serences JT, Hickok G","Cerebral cortex (New York, N.Y. : 1991)",0.209,20100898,-1,-1
core_00013,https://pubmed.ncbi.nlm.nih.gov/20016001/,Connectivity analysis reveals a cortical network for eye gaze perception.,"Nummenmaa L, Passamonti L, Rowe J, Engell AD, Calder AJ","Cerebral cortex (New York, N.Y. : 1991)",0.208,20016001,-1,-1
core_00014,https://pubmed.ncbi.nlm.nih.gov/26807336/,Neural correlates of different self domains.,"Araujo HF, Kaplan J, Damasio H, Damasio A",Brain and behavior,0.201,26807336,-1,-1
core_00015,https://pubmed.ncbi.nlm.nih.gov/25985955/,"Stress, trauma and PTSD: translational insights into the core synaptic circuitry  and its modulation.","Bennett MR, Hatton SN, Lagopoulos J",Brain structure & function,0.2,25985955,-1,-1
core_00016,https://pubmed.ncbi.nlm.nih.gov/20617881/,Fusiform gyrus face selectivity relates to individual differences in facial recognition ability.,"Furl N, Garrido L, Dolan RJ, Driver J, Duchaine B",Journal of cognitive neuroscience,0.199,20617881,-1,-1
core_00017,https://pubmed.ncbi.nlm.nih.gov/19041331/,Constructive episodic simulation of the future and the past: distinct subsystems  of a core brain network mediate imagining and remembering.,"Addis DR, Pan L, Vu MA, Laiser N, Schacter DL",Neuropsychologia,0.197,19041331,-1,-1
core_00018,https://pubmed.ncbi.nlm.nih.gov/27601666/,Episodic specificity induction impacts activity in a core brain network during construction of imagined future experiences.,"Madore KP, Szpunar KK, Addis DR, Schacter DL",Proceedings of the National Academy of Sciences of the United States of America,0.188,27601666,-1,-1
core_00019,https://pubmed.ncbi.nlm.nih.gov/28093279/,Obesity and insulin resistance are associated with reduced activity in core memory regions of the brain.,"Cheke LG, Bonnici HM, Clayton NS, Simons JS",Neuropsychologia,0.188,28093279,-1,-1
core_00020,https://pubmed.ncbi.nlm.nih.gov/22305968/,Age-related differences in the brain areas outside the classical language areas among adults using category decision task.,"Cho YW, Song HJ, Lee JJ, Lee JH, Lee HJ, Yi SD, Chang HW, Berl MM, Gaillard WD, Chang Y",Brain and language,0.186,22305968,-1,-1
core_00021,https://pubmed.ncbi.nlm.nih.gov/22972952/,Intra- and interhemispheric connectivity between face-selective regions in the human brain.,"Davies-Thompson J, Andrews TJ",Journal of neurophysiology,0.186,22972952,10.1152/jn.01171.2011,-1
core_00022,https://pubmed.ncbi.nlm.nih.gov/17627851/,Functional neuroanatomy of deductive inference: a language-independent distributed network.,"Monti MM, Osherson DN, Martinez MJ, Parsons LM",NeuroImage,0.179,17627851,10.1016/j.neuroimage.2007.04.069,-1
core_00023,https://pubmed.ncbi.nlm.nih.gov/22245014/,fMRI evidence for strategic decision-making during resolution of pronoun reference.,"McMillan CT, Clark R, Gunawardena D, Ryant N, Grossman M",Neuropsychologia,0.178,22245014,-1,-1
core_00024,https://pubmed.ncbi.nlm.nih.gov/17292627/,Circuitry underlying temporally extended spatial working memory.,"Geier CF, Garver KE, Luna B",NeuroImage,0.177,17292627,-1,-1
core_00025,https://pubmed.ncbi.nlm.nih.gov/22079204/,Language in calculation: a core mechanism?,"Benn Y, Zheng Y, Wilkinson ID, Siegal M, Varley R",Neuropsychologia,0.173,22079204,-1,-1
core_00026,https://pubmed.ncbi.nlm.nih.gov/23984945/,Robust selectivity for faces in the human amygdala in the absence of expressions.,"Mende-Siedlecki P, Verosky SC, Turk-Browne NB, Todorov A",Journal of cognitive neuroscience,0.172,23984945,-1,-1
core_00027,https://pubmed.ncbi.nlm.nih.gov/21448274/,Extensive cochleotopic mapping of human auditory cortical fields obtained with phase-encoding FMRI.,"Striem-Amit E, Hertz U, Amedi A",PloS one,0.17,21448274,-1,-1
core_00028,https://pubmed.ncbi.nlm.nih.gov/21695133/,Cortical dynamics of acoustic and phonological processing in speech perception.,"Zhang L, Xi J, Xu G, Shu H, Wang X, Li P",PloS one,0.168,21695133,-1,-1
core_00029,https://pubmed.ncbi.nlm.nih.gov/22100770/,A tale of two itches. Common features and notable differences in brain activation evoked by cowhage and histamine induced itch.,"Papoiu AD, Coghill RC, Kraft RA, Wang H, Yosipovitch G",NeuroImage,0.168,22100770,-1,-1
core_00030,https://pubmed.ncbi.nlm.nih.gov/12805112/,Effects of visual deprivation on the organization of the semantic system.,"Noppeney U, Friston KJ, Price CJ",Brain : a journal of neurology,0.165,12805112,-1,-1
core_00031,https://pubmed.ncbi.nlm.nih.gov/20828626/,Evaluation of effective connectivity of motor areas during motor imagery and execution using conditional Granger causality.,"Gao Q, Duan X, Chen H",NeuroImage,0.164,20828626,10.1016/j.neuroimage.2010.08.071,-1
core_00032,https://pubmed.ncbi.nlm.nih.gov/22306196/,Neural correlates of the core facets of empathy in schizophrenia.,"Derntl B, Finkelmeyer A, Voss B, Eickhoff SB, Kellermann T, Schneider F, Habel U",Schizophrenia research,0.164,22306196,10.1016/j.schres.2011.12.018,-1
core_00033,https://pubmed.ncbi.nlm.nih.gov/26792586/,Efficacy of identifying neural components in the face and emotion processing system in schizophrenia using a dynamic functional localizer.,"Arnold AE, Iaria G, Goghari VM",Psychiatry research. Neuroimaging,0.162,26792586,10.1016/j.pscychresns.2016.01.007,-1
core_00034,https://pubmed.ncbi.nlm.nih.gov/25479196/,Right anterior insula: core region of hallucinations in cognitive neurodegenerative diseases.,"Blanc F, Noblet V, Philippi N, Cretin B, Foucher J, Armspach JP, Rousseau F",PloS one,0.161,25479196,10.1371/journal.pone.0114774,-1
core_00035,https://pubmed.ncbi.nlm.nih.gov/16168473/,Large-scale neural network for sentence processing.,"Cooke A, Grossman M, DeVita C, Gonzalez-Atavales J, Moore P, Chen W, Gee J, Detre J",Brain and language,0.16,16168473,-1,-1
core_00036,https://pubmed.ncbi.nlm.nih.gov/25284304/,Age trajectories of functional activation under conditions of low and high processing demands: An adult lifespan fMRI study of the aging brain.,"Kennedy KM, Rodrigue KM, Bischof GN, Hebrank AC, Reuter-Lorenz PA, Park DC",NeuroImage,0.159,25284304,-1,-1
core_00037,https://pubmed.ncbi.nlm.nih.gov/24564433/,Predication drives verb cortical signatures.,"Hernandez M, Fairhall SL, Lenci A, Baroni M, Caramazza A",Journal of cognitive neuroscience,0.156,24564433,-1,-1
core_00038,https://pubmed.ncbi.nlm.nih.gov/25431556/,"Multi-voxel pattern analysis (MVPA) reveals abnormal fMRI activity in both the ""core"" and ""extended"" face network in congenital prosopagnosia.","Rivolta D, Woolgar A, Palermo R, Butko M, Schmalzl L, Williams MA",Frontiers in human neuroscience,0.156,25431556,-1,-1
core_00039,https://pubmed.ncbi.nlm.nih.gov/26941629/,Resting-State Coupling between Core Regions within the Central-Executive and Salience Networks Contributes to Working Memory Performance.,"Fang X, Zhang Y, Zhou Y, Cheng L, Li J, Wang Y, Friston KJ, Jiang T",Frontiers in behavioral neuroscience,0.155,26941629,-1,-1
core_00040,https://pubmed.ncbi.nlm.nih.gov/24412433/,When a loved one feels unfamiliar: a case study on the neural basis of Capgras delusion.,"Thiel CM, Studte S, Hildebrandt H, Huster R, Weerda R",Cortex; a journal devoted to the study of the nervous system and behavior,0.153,24412433,-1,-1
core_00041,https://pubmed.ncbi.nlm.nih.gov/23231884/,"Differential face-network adaptation in children, adolescents and adults.","Cohen Kadosh K, Johnson MH, Henson RN, Dick F, Blakemore SJ",NeuroImage,0.152,23231884,-1,-1
core_00042,https://pubmed.ncbi.nlm.nih.gov/26484047/,Default mode network segregation and social deficits in autism spectrum disorder: Evidence from non-medicated children.,"Yerys BE, Gordon EM, Abrams DN, Satterthwaite TD, Weinblatt R, Jankowski KF, Strang J, Kenworthy L, Gaillard WD, Vaidya CJ",NeuroImage. Clinical,0.151,26484047,-1,-1
core_00043,https://pubmed.ncbi.nlm.nih.gov/12160756/,A neural basis for social cooperation.,"Rilling J, Gutman D, Zeh T, Pagnoni G, Berns G, Kilts C",Neuron,0.148,12160756,-1,-1
core_00044,https://pubmed.ncbi.nlm.nih.gov/23630602/,Explicating the face perception network with white matter connectivity.,"Pyles JA, Verstynen TD, Schneider W, Tarr MJ",PloS one,0.148,23630602,-1,-1
core_00045,https://pubmed.ncbi.nlm.nih.gov/22258801/,Disgust trait modulates frontal-posterior coupling as a function of disgust domain.,"Borg C, de Jong PJ, Renken RJ, Georgiadis JR",Social cognitive and affective neuroscience,0.147,22258801,-1,-1
core_00046,https://pubmed.ncbi.nlm.nih.gov/22144954/,The lateralization of motor cortex activation to action-words.,"Hauk O, Pulvermuller F",Frontiers in human neuroscience,0.146,22144954,-1,-1
core_00047,https://pubmed.ncbi.nlm.nih.gov/25646442/,Self-affirmation alters the brain's response to health messages and subsequent behavior change.,"Falk EB, O'Donnell MB, Cascio CN, Tinney F, Kang Y, Lieberman MD, Taylor SE, An L, Resnicow K, Strecher VJ",Proceedings of the National Academy of Sciences of the United States of America,0.145,25646442,-1,-1
core_00048,https://pubmed.ncbi.nlm.nih.gov/27991030/,Network Connectivity of the Right STS in Three Social Perception Localizers.,"Dasgupta S, Tyler SC, Wicks J, Srinivasan R, Grossman ED",Journal of cognitive neuroscience,0.145,27991030,-1,-1
core_00049,https://pubmed.ncbi.nlm.nih.gov/25734897/,Domain-independent neural underpinning of task-switching: an fMRI investigation.,"Vallesi A, Arbula S, Capizzi M, Causin F, D'Avella D",Cortex; a journal devoted to the study of the nervous system and behavior,0.14,25734897,-1,-1
core_00050,https://pubmed.ncbi.nlm.nih.gov/16979350/,A functional endophenotype for sexual orientation in humans.,"Ponseti J, Bosinski HA, Wolff S, Peller M, Jansen O, Mehdorn HM, Buchel C, Siebner HR",NeuroImage,0.137,16979350,-1,-1
core_00051,https://pubmed.ncbi.nlm.nih.gov/25759285/,The development of the intrinsic functional connectivity of default network subsystems from age 3 to 5.,"Xiao Y, Zhai H, Friederici AD, Jia F",Brain imaging and behavior,0.136,25759285,10.1007/s11682-015-9362-z,-1
core_00052,https://pubmed.ncbi.nlm.nih.gov/29438845/,Brain over body-A study on the willful regulation of autonomic function during  cold exposure.,"Muzik O, Reilly KT, Diwadkar VA",NeuroImage,0.135,29438845,10.1016/j.neuroimage.2018.01.067,-1
core_00053,https://pubmed.ncbi.nlm.nih.gov/20162606/,Decreased neuronal activity in reward circuitry of pathological gamblers during processing of personal relevant stimuli.,"de Greck M, Enzi B, Prosch U, Gantman A, Tempelmann C, Northoff G",Human brain mapping,0.134,20162606,10.1002/hbm.20981,-1
core_00054,https://pubmed.ncbi.nlm.nih.gov/11549617/,Spectral and temporal processing in human auditory cortex.,"Zatorre RJ, Belin P","Cerebral cortex (New York, N.Y. : 1991)",0.131,11549617,10.1093/cercor/11.10.946,-1
core_00055,https://pubmed.ncbi.nlm.nih.gov/20621638/,Abnormal functional connectivity of default mode sub-networks in autism spectrum  disorder patients.,"Assaf M, Jagannathan K, Calhoun VD, Miller L, Stevens MC, Sahl R, O'Boyle JG, Schultz RT, Pearlson GD",NeuroImage,0.131,20621638,-1,-1
core_00056,https://pubmed.ncbi.nlm.nih.gov/20946964/,Meta-analytic evidence for common and distinct neural networks associated with directly experienced pain and empathy for pain.,"Lamm C, Decety J, Singer T",NeuroImage,0.13,20946964,-1,-1
core_00057,https://pubmed.ncbi.nlm.nih.gov/22419478/,Phonological processing in first-degree relatives of individuals with autism: an  fMRI study.,"Wilson LB, Tregellas JR, Slason E, Pasko BE, Hepburn S, Rojas DC",Human brain mapping,0.128,22419478,-1,-1
core_00058,https://pubmed.ncbi.nlm.nih.gov/24583253/,The neural basis of the bystander effect--the influence of group size on neural activity when witnessing an emergency.,"Hortensius R, de Gelder B",NeuroImage,0.128,24583253,-1,-1
core_00059,https://pubmed.ncbi.nlm.nih.gov/25950551/,Specific default mode subnetworks support mentalizing as revealed through opposing network recruitment by social and semantic FMRI tasks.,"Hyatt CJ, Calhoun VD, Pearlson GD, Assaf M",Human brain mapping,0.127,25950551,-1,-1
core_00060,https://pubmed.ncbi.nlm.nih.gov/20201631/,Dissociating linguistic and task-related activity in the left inferior frontal gyrus.,"Wright P, Randall B, Marslen-Wilson WD, Tyler LK",Journal of cognitive neuroscience,0.125,20201631,-1,-1
core_00061,https://pubmed.ncbi.nlm.nih.gov/21283580/,Individualized and clinically derived stimuli activate limbic structures in depression: an fMRI study.,"Kessler H, Taubner S, Buchheim A, Munte TF, Stasch M, Kachele H, Roth G, Heinecke A, Erhard P, Cierpka M, Wiswede D",PloS one,0.125,21283580,-1,-1
core_00062,https://pubmed.ncbi.nlm.nih.gov/22078639/,The question shapes the answer: the neural correlates of task differences reveal  dynamic semantic processing.,"Hargreaves IS, White M, Pexman PM, Pittman D, Goodyear BG",Brain and language,0.125,22078639,-1,-1
core_00063,https://pubmed.ncbi.nlm.nih.gov/24960045/,The neural basis of temporal order processing in past and future thought.,"D'Argembeau A, Jeunehomme O, Majerus S, Bastin C, Salmon E",Journal of cognitive neuroscience,0.121,24960045,-1,-1
core_00064,https://pubmed.ncbi.nlm.nih.gov/19428413/,A failure to grasp the affective meaning of actions in autism spectrum disorder subjects.,"Grezes J, Wicker B, Berthoz S, de Gelder B",Neuropsychologia,0.12,19428413,-1,-1
core_00065,https://pubmed.ncbi.nlm.nih.gov/26439515/,Mechanisms of hemispheric lateralization: Asymmetric interhemispheric recruitment in the face perception network.,"Frassle S, Paulus FM, Krach S, Schweinberger SR, Stephan KE, Jansen A",NeuroImage,0.12,26439515,-1,-1
core_00066,https://pubmed.ncbi.nlm.nih.gov/16400163/,Processing linguistic complexity and grammaticality in the left frontal cortex.,"Friederici AD, Fiebach CJ, Schlesewsky M, Bornkessel ID, von Cramon DY","Cerebral cortex (New York, N.Y. : 1991)",0.119,16400163,-1,-1
core_00067,https://pubmed.ncbi.nlm.nih.gov/17451759/,Supramodal language comprehension: role of the left temporal lobe for listening and reading.,"Lindenberg R, Scheef L",Neuropsychologia,0.117,17451759,-1,-1
core_00068,https://pubmed.ncbi.nlm.nih.gov/20347996/,Prosodic and narrative processing in American Sign Language: an fMRI study.,"Newman AJ, Supalla T, Hauser PC, Newport EL, Bavelier D",NeuroImage,0.117,20347996,-1,-1
core_00069,https://pubmed.ncbi.nlm.nih.gov/22871390/,Neural responses to emotional stimuli in comorbid borderline personality disorder and bipolar depression.,"Radaelli D, Poletti S, Dallaspezia S, Colombo C, Smeraldi E, Benedetti F",Psychiatry research,0.116,22871390,-1,-1
core_00070,https://pubmed.ncbi.nlm.nih.gov/23166657/,Working memory-related functional brain patterns in never medicated children with ADHD.,"Massat I, Slama H, Kavec M, Linotte S, Mary A, Baleriaux D, Metens T, Mendlewicz J, Peigneux P",PloS one,0.116,23166657,-1,-1
core_00071,https://pubmed.ncbi.nlm.nih.gov/22870240/,Hypersensitivity in borderline personality disorder during mindreading.,"Frick C, Lang S, Kotchoubey B, Sieswerda S, Dinu-Biringer R, Berger M, Veser S, Essig M, Barnow S",PloS one,0.115,22870240,10.1371/journal.pone.0041650,-1
core_00072,https://pubmed.ncbi.nlm.nih.gov/19666829/,Neural processing during older adults' comprehension of spoken sentences: age differences in resource allocation and connectivity.,"Peelle JE, Troiani V, Wingfield A, Grossman M","Cerebral cortex (New York, N.Y. : 1991)",0.113,19666829,10.1093/cercor/bhp142,-1
core_00073,https://pubmed.ncbi.nlm.nih.gov/21452937/,Face processing changes in normal aging revealed by fMRI adaptation.,"Lee Y, Grady CL, Habak C, Wilson HR, Moscovitch M",Journal of cognitive neuroscience,0.113,21452937,10.1162/jocn_a_00026,-1
core_00074,https://pubmed.ncbi.nlm.nih.gov/26682467/,Alterations in Amygdala-Prefrontal Functional Connectivity Account for Excessive  Worry and Autonomic Dysregulation in Generalized Anxiety Disorder.,"Makovac E, Meeten F, Watson DR, Herman A, Garfinkel SN, D Critchley H, Ottaviani C",Biological psychiatry,0.113,26682467,-1,-1
core_00075,https://pubmed.ncbi.nlm.nih.gov/22975159/,Studying the topological organization of the cerebral blood flow fluctuations in  resting state.,"Melie-Garcia L, Sanabria-Diaz G, Sanchez-Catasus C",NeuroImage,0.112,22975159,-1,-1
core_00076,https://pubmed.ncbi.nlm.nih.gov/24368899/,Attention for speaking: domain-general control from the anterior cingulate cortex in spoken word production.,"Piai V, Roelofs A, Acheson DJ, Takashima A",Frontiers in human neuroscience,0.112,24368899,-1,-1
core_00077,https://pubmed.ncbi.nlm.nih.gov/27155127/,The neural correlates of recollection and retrieval monitoring: Relationships with age and recollection performance.,"de Chastelaine M, Mattson JT, Wang TH, Donley BE, Rugg MD",NeuroImage,0.111,27155127,-1,-1
core_00078,https://pubmed.ncbi.nlm.nih.gov/20035884/,"Distinct representations of phonemes, syllables, and supra-syllabic sequences in  the speech production network.","Peeva MG, Guenther FH, Tourville JA, Nieto-Castanon A, Anton JL, Nazarian B, Alario FX",NeuroImage,0.11,20035884,-1,-1
core_00079,https://pubmed.ncbi.nlm.nih.gov/23363414/,The functional topography and temporal dynamics of overlapping and distinct brain activations for adaptive task control and stable task-set maintenance during performance of an fMRI-adapted clinical c,"Olsen A, Ferenc Brunner J, Evensen KA, Garzon B, Landro NI, Haberg AK",Journal of cognitive neuroscience,0.11,23363414,-1,-1
core_00080,https://pubmed.ncbi.nlm.nih.gov/23501047/,Interregional compensatory mechanisms of motor functioning in progressing preclinical neurodegeneration.,"Scheller E, Abdulkadir A, Peter J, Tabrizi SJ, Frackowiak RS, Kloppel S",NeuroImage,0.11,23501047,-1,-1
core_00081,https://pubmed.ncbi.nlm.nih.gov/16766210/,Individuals with schizophrenia present hypo- and hyperactivation during implicit  cueing in an inhibitory task.,"Arce E, Leland DS, Miller DA, Simmons AN, Winternheimer KC, Paulus MP",NeuroImage,0.109,16766210,-1,-1
core_00082,https://pubmed.ncbi.nlm.nih.gov/29364911/,Scholastic performance and functional connectivity of brain networks in children.,"Chaddock-Heyman L, Weng TB, Kienzler C, Erickson KI, Voss MW, Drollette ES, Raine LB, Kao SC, Hillman CH, Kramer AF",PloS one,0.108,29364911,-1,-1
core_00083,https://pubmed.ncbi.nlm.nih.gov/14683715/,"One brain, two selves.","Reinders AA, Nijenhuis ER, Paans AM, Korf J, Willemsen AT, den Boer JA",NeuroImage,0.107,14683715,-1,-1
core_00084,https://pubmed.ncbi.nlm.nih.gov/15872107/,An event-related functional magnetic resonance imaging study of voluntary and stimulus-driven orienting of attention.,"Kincade JM, Abrams RA, Astafiev SV, Shulman GL, Corbetta M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.107,15872107,-1,-1
core_00085,https://pubmed.ncbi.nlm.nih.gov/21531027/,The insular cortex and the neuroanatomy of major depression.,"Sprengelmeyer R, Steele JD, Mwangi B, Kumar P, Christmas D, Milders M, Matthews K",Journal of affective disorders,0.107,21531027,-1,-1
core_00086,https://pubmed.ncbi.nlm.nih.gov/22347853/,Neural mechanisms underlying the induction and relief of perceptual curiosity.,"Jepma M, Verdonschot RG, van Steenbergen H, Rombouts SA, Nieuwenhuis S",Frontiers in behavioral neuroscience,0.107,22347853,-1,-1
core_00087,https://pubmed.ncbi.nlm.nih.gov/25356830/,Identifying the Core Components of Emotional Intelligence: Evidence from Amplitude of Low-Frequency Fluctuations during Resting State.,"Pan W, Wang T, Wang X, Hitchman G, Wang L, Chen A",PloS one,0.107,25356830,-1,-1
core_00088,https://pubmed.ncbi.nlm.nih.gov/25592995/,Mathematical framework for large-scale brain network modeling in The Virtual Brain.,"Sanz-Leon P, Knock SA, Spiegler A, Jirsa VK",NeuroImage,0.105,25592995,-1,-1
core_00089,https://pubmed.ncbi.nlm.nih.gov/15670705/,Yearning to yawn: the neural basis of contagious yawning.,"Schurmann M, Hesse MD, Stephan KE, Saarela M, Zilles K, Hari R, Fink GR",NeuroImage,0.104,15670705,-1,-1
core_00090,https://pubmed.ncbi.nlm.nih.gov/21586332/,Stereotype-based modulation of person perception.,"Quadflieg S, Flannigan N, Waiter GD, Rossion B, Wig GS, Turk DJ, Macrae CN",NeuroImage,0.104,21586332,-1,-1
core_00091,https://pubmed.ncbi.nlm.nih.gov/15054068/,Separable effects of semantic priming and imageability on word processing in human cortex.,"Giesbrecht B, Camblin CC, Swaab TY","Cerebral cortex (New York, N.Y. : 1991)",0.102,15054068,10.1093/cercor/bhh014,-1
core_00092,https://pubmed.ncbi.nlm.nih.gov/21699987/,Naturalizing aesthetics: brain areas for aesthetic appraisal across sensory modalities.,"Brown S, Gao X, Tisdelle L, Eickhoff SB, Liotti M",NeuroImage,0.102,21699987,10.1016/j.neuroimage.2011.06.012,-1
core_00093,https://pubmed.ncbi.nlm.nih.gov/21713118/,Towards a neuroscience of mind-wandering.,"Gruberger M, Ben-Simon E, Levkovitz Y, Zangen A, Hendler T",Frontiers in human neuroscience,0.102,21713118,-1,-1
core_00094,https://pubmed.ncbi.nlm.nih.gov/20347878/,"Intrinsic functional connectivity of the periaqueductal gray, a resting fMRI study.","Kong J, Tu PC, Zyloney C, Su TP",Behavioural brain research,0.101,20347878,-1,-1
core_00095,https://pubmed.ncbi.nlm.nih.gov/22079661/,Prefrontal hyperactivation during a working memory task in early-onset schizophrenia spectrum disorders: an fMRI study.,"Thormodsen R, Jensen J, Holmen A, Juuhl-Langseth M, Emblem KE, Andreassen OA, Rund BR",Psychiatry research,0.101,22079661,-1,-1
core_00096,https://pubmed.ncbi.nlm.nih.gov/24201011/,Format-dependent representations of symbolic and non-symbolic numbers in the human cortex as revealed by multi-voxel pattern analyses.,"Bulthe J, De Smedt B, Op de Beeck HP",NeuroImage,0.101,24201011,-1,-1
core_00097,https://pubmed.ncbi.nlm.nih.gov/24830839/,Anticipatory processes in brain state switching - Evidence from a novel cued-switching task implicating default mode and salience networks.,"Sidlauskaite J, Wiersema JR, Roeyers H, Krebs RM, Vassena E, Fias W, Brass M, Achten E, Sonuga-Barke E",NeuroImage,0.1,24830839,-1,-1
core_00098,https://pubmed.ncbi.nlm.nih.gov/27799903/,The Neural Bases of Disgust for Cheese: An fMRI Study.,"Royet JP, Meunier D, Torquet N, Mouly AM, Jiang T",Frontiers in human neuroscience,0.1,27799903,-1,-1
core_00099,https://pubmed.ncbi.nlm.nih.gov/18177843/,The influence of response conflict on error processing: evidence from event-related fMRI.,"Wittfoth M, Kustermann E, Fahle M, Herrmann M",Brain research,0.099,18177843,-1,-1
core_00100,https://pubmed.ncbi.nlm.nih.gov/16221923/,The neural basis of human dance.,"Brown S, Martinez MJ, Parsons LM","Cerebral cortex (New York, N.Y. : 1991)",0.098,16221923,-1,-1
core_00101,https://pubmed.ncbi.nlm.nih.gov/18493621/,Anomalous hypothalamic responses to humor in cataplexy.,"Reiss AL, Hoeft F, Tenforde AS, Chen W, Mobbs D, Mignot EJ",PloS one,0.098,18493621,-1,-1
core_00102,https://pubmed.ncbi.nlm.nih.gov/25743635/,Auditory mismatch impairments are characterized by core neural dysfunctions in schizophrenia.,"Gaebler AJ, Mathiak K, Koten JW Jr, Konig AA, Koush Y, Weyer D, Depner C, Matentzoglu S, Edgar JC, Willmes K, Zvyagintsev M",Brain : a journal of neurology,0.098,25743635,-1,-1
core_00103,https://pubmed.ncbi.nlm.nih.gov/17686467/,The functional neuroanatomy of maternal love: mother's response to infant's attachment behaviors.,"Noriuchi M, Kikuchi Y, Senoo A",Biological psychiatry,0.096,17686467,-1,-1
core_00104,https://pubmed.ncbi.nlm.nih.gov/26994741/,Cross-modal comparisons of stimulus specificity and commonality in phonological processing.,"Oron A, Wolak T, Zeffiro T, Szelag E",Brain and language,0.096,26994741,-1,-1
core_00105,https://pubmed.ncbi.nlm.nih.gov/28138426/,Alterations in visual cortical activation and connectivity with prefrontal cortex during working memory updating in major depressive disorder.,"Le TM, Borghi JA, Kujawa AJ, Klein DN, Leung HC",NeuroImage. Clinical,0.096,28138426,-1,-1
core_00106,https://pubmed.ncbi.nlm.nih.gov/28247156/,Orbitofrontal overactivation in reward processing in borderline personality disorder: the role of non-suicidal self-injury.,"Vega D, Ripolles P, Soto A, Torrubia R, Ribas J, Monreal JA, Pascual JC, Salvador R, Pomarol-Clotet E, Rodriguez-Fornells A, Marco-Pallares J",Brain imaging and behavior,0.096,28247156,-1,-1
core_00107,https://pubmed.ncbi.nlm.nih.gov/16432232/,Cortical signatures of noun and verb production.,"Shapiro KA, Moo LR, Caramazza A",Proceedings of the National Academy of Sciences of the United States of America,0.095,16432232,-1,-1
core_00108,https://pubmed.ncbi.nlm.nih.gov/18806920/,Neuregulin 1 ICE-single nucleotide polymorphism in first episode schizophrenia correlates with cerebral activation in fronto-temporal areas.,"Kircher T, Thienel R, Wagner M, Reske M, Habel U, Kellermann T, Frommann I, Schwab S, Wolwer W, von Wilmsdorf M, Braus DF, Schmitt A, Rapp A, Stocker T, Shah NJ, Henn FA, Sauer H, Gaebel W, Maier W, Schneider F",European archives of psychiatry and clinical neuroscience,0.095,18806920,-1,-1
