paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
lobule ipl_00001,https://pubmed.ncbi.nlm.nih.gov/24348991/,Individual differences in brain structure and resting brain function underlie cognitive styles: evidence from the Embedded Figures Test.,"Hao X, Wang K, Li W, Yang W, Wei D, Qiu J, Zhang Q",PloS one,0.2,24348991,-1,-1
lobule ipl_00002,https://pubmed.ncbi.nlm.nih.gov/27148024/,A Neural Mechanism of Preference Shifting Under Zero Price Condition.,"Votinov M, Aso T, Fukuyama H, Mima T",Frontiers in human neuroscience,0.147,27148024,-1,-1
lobule ipl_00003,https://pubmed.ncbi.nlm.nih.gov/21382353/,Neural correlates of evaluations of lying and truth-telling in different social contexts.,"Wu D, Loke IC, Xu F, Lee K",Brain research,0.146,21382353,-1,-1
lobule ipl_00004,https://pubmed.ncbi.nlm.nih.gov/28101012/,Morphological and Functional Differences between Athletes and Novices in Cortical Neuronal Networks.,"Tan XY, Pi YL, Wang J, Li XP, Zhang LL, Dai W, Zhu H, Ni Z, Zhang J, Wu Y",Frontiers in human neuroscience,0.139,28101012,-1,-1
lobule ipl_00005,https://pubmed.ncbi.nlm.nih.gov/18760292/,Remembrance of things touched: how sensorimotor experience affects the neural instantiation of object form.,"Oliver RT, Geiger EJ, Lewandowski BC, Thompson-Schill SL",Neuropsychologia,0.136,18760292,-1,-1
lobule ipl_00006,https://pubmed.ncbi.nlm.nih.gov/29209186/,The Neural Association between Tendency to Forgive and Spontaneous Brain Activity in Healthy Young Adults.,"Li H, Lu J",Frontiers in human neuroscience,0.126,29209186,-1,-1
lobule ipl_00007,https://pubmed.ncbi.nlm.nih.gov/15050556/,The human parietal cortex is involved in spatial processing of tongue movement-an fMRI study.,"Watanabe J, Sugiura M, Miura N, Watanabe Y, Maeda Y, Matsue Y, Kawashima R",NeuroImage,0.118,15050556,-1,-1
lobule ipl_00008,https://pubmed.ncbi.nlm.nih.gov/24183468/,Fronto-parietal dorsal and ventral pathways in the context of different linguistic manipulations.,"Kellmeyer P, Ziegler W, Peschke C, Juliane E, Schnell S, Baumgaertner A, Weiller C, Saur D",Brain and language,0.116,24183468,-1,-1
lobule ipl_00009,https://pubmed.ncbi.nlm.nih.gov/24532700/,Short-term meditation modulates brain activity of insight evoked with solution cue.,"Ding X, Tang YY, Cao C, Deng Y, Wang Y, Xin X, Posner MI",Social cognitive and affective neuroscience,0.116,24532700,-1,-1
lobule ipl_00010,https://pubmed.ncbi.nlm.nih.gov/23966916/,Explorations of object and location memory using fMRI.,"Passaro AD, Elmore LC, Ellmore TM, Leising KJ, Papanicolaou AC, Wright AA",Frontiers in behavioral neuroscience,0.113,23966916,-1,-1
lobule ipl_00011,https://pubmed.ncbi.nlm.nih.gov/21295015/,Motor control of jaw movements: An fMRI study of parafunctional clench and grind  behavior.,"Wong D, Dzemidzic M, Talavage TM, Romito LM, Byrd KE",Brain research,0.112,21295015,-1,-1
lobule ipl_00012,https://pubmed.ncbi.nlm.nih.gov/21798310/,Altered regional homogeneity in motor cortices in patients with multiple system atrophy.,"You H, Wang J, Wang H, Zang YF, Zheng FL, Meng CL, Feng F",Neuroscience letters,0.112,21798310,-1,-1
lobule ipl_00013,https://pubmed.ncbi.nlm.nih.gov/20828626/,Evaluation of effective connectivity of motor areas during motor imagery and execution using conditional Granger causality.,"Gao Q, Duan X, Chen H",NeuroImage,0.11,20828626,-1,-1
lobule ipl_00014,https://pubmed.ncbi.nlm.nih.gov/25447374/,Integration of cognitive and affective networks in humor comprehension.,"Shibata M, Terasawa Y, Umeda S",Neuropsychologia,0.11,25447374,-1,-1
lobule ipl_00015,https://pubmed.ncbi.nlm.nih.gov/26219536/,Neural activity patterns evoked by a spouse's incongruent emotional reactions when recalling marriage-relevant experiences.,"Petrican R, Rosenbaum RS, Grady C",Human brain mapping,0.109,26219536,-1,-1
lobule ipl_00016,https://pubmed.ncbi.nlm.nih.gov/19943038/,Contorted and ordinary body postures in the human brain.,"Cross ES, Mackie EC, Wolford G, Hamilton AF",Experimental brain research,0.108,19943038,-1,-1
lobule ipl_00017,https://pubmed.ncbi.nlm.nih.gov/21962775/,Differential neural activity and connectivity for processing one's own face: a preliminary report.,"Ramasubbu R, Masalovich S, Gaxiola I, Peltier S, Holtzheimer PE, Heim C, Goodyear B, Macqueen G, Mayberg HS",Psychiatry research,0.107,21962775,-1,-1
